result_class,reporting_role,diagnostic_family,variant,regime,reference_variant,grid_points,viability_count,viability_fraction,viability_fraction_change,capture_count,capture_fraction,capture_fraction_change,target_count,target_fraction,recovery_from_outside_count,recovery_from_outside_fraction,recovery_from_outside_fraction_change,theta_step_rad,omega_step_rad_s,time_step_s,horizon_s,horizon_steps,control_latency_s,constraint_samples_per_step,diagnostic_status,diagnostic_warning,diagnostic_finding,approximation
simulation estimate,numerical diagnostic,discretization,base,freewheel,base,323,224,0.6934984520123839,0.0,56,0.17337461300309598,0.0,9,0.02786377708978328,47,0.14551083591331268,0.0,0.05,0.15,0.05,2.0,40,0.0,4,sensitivity diagnostic; not convergence evidence,independent-axis sweep; coupled agreement can conceal opposing discretization effects,coupled refinement masks opposing independent discretization effects,finite-horizon sampled-time nearest-grid controlled predecessor with RK4
simulation estimate,numerical diagnostic,discretization,state_grid_refined,freewheel,base,1221,733,0.6003276003276004,-0.09317085168478356,649,0.5315315315315315,0.35815691852843556,25,0.020475020475020474,624,0.5110565110565111,0.36554567514319836,0.025,0.075,0.05,2.0,40,0.0,4,sensitivity diagnostic; not convergence evidence,independent-axis sweep; coupled agreement can conceal opposing discretization effects,coupled refinement masks opposing independent discretization effects,finite-horizon sampled-time nearest-grid controlled predecessor with RK4
simulation estimate,numerical diagnostic,discretization,time_step_refined,freewheel,base,323,260,0.804953560371517,0.11145510835913308,43,0.13312693498452013,-0.040247678018575844,9,0.02786377708978328,34,0.10526315789473684,-0.040247678018575844,0.05,0.15,0.025,2.0,80,0.0,4,sensitivity diagnostic; not convergence evidence,independent-axis sweep; coupled agreement can conceal opposing discretization effects,coupled refinement masks opposing independent discretization effects,finite-horizon sampled-time nearest-grid controlled predecessor with RK4
simulation estimate,numerical diagnostic,discretization,coupled_refined,freewheel,base,1221,852,0.6977886977886978,0.004290245776313872,211,0.17280917280917282,-0.0005654401939231557,25,0.020475020475020474,186,0.15233415233415235,0.006823316420839665,0.025,0.075,0.025,2.0,80,0.0,4,sensitivity diagnostic; not convergence evidence,independent-axis sweep; coupled agreement can conceal opposing discretization effects,coupled refinement masks opposing independent discretization effects,finite-horizon sampled-time nearest-grid controlled predecessor with RK4
simulation estimate,numerical diagnostic,horizon,horizon_0_5_s,direct,horizon_2_s,323,277,0.8575851393188855,0.0,169,0.5232198142414861,-0.33436532507739936,9,0.02786377708978328,160,0.4953560371517028,-0.3343653250773994,0.05,0.15,0.05,0.5,10,0.0,4,sensitivity diagnostic; not convergence evidence,finite-horizon sensitivity only; not an infinite-horizon viability kernel,,finite-horizon sampled-time nearest-grid controlled predecessor with RK4
simulation estimate,numerical diagnostic,horizon,horizon_1_s,direct,horizon_2_s,323,277,0.8575851393188855,0.0,275,0.8513931888544891,-0.006191950464396356,9,0.02786377708978328,266,0.8235294117647058,-0.006191950464396356,0.05,0.15,0.05,1.0,20,0.0,4,sensitivity diagnostic; not convergence evidence,finite-horizon sensitivity only; not an infinite-horizon viability kernel,,finite-horizon sampled-time nearest-grid controlled predecessor with RK4
simulation estimate,numerical diagnostic,horizon,horizon_2_s,direct,horizon_2_s,323,277,0.8575851393188855,0.0,277,0.8575851393188855,0.0,9,0.02786377708978328,268,0.8297213622291022,0.0,0.05,0.15,0.05,2.0,40,0.0,4,sensitivity diagnostic; not convergence evidence,finite-horizon sensitivity only; not an infinite-horizon viability kernel,,finite-horizon sampled-time nearest-grid controlled predecessor with RK4
simulation estimate,numerical diagnostic,horizon,horizon_4_s,direct,horizon_2_s,323,277,0.8575851393188855,0.0,277,0.8575851393188855,0.0,9,0.02786377708978328,268,0.8297213622291022,0.0,0.05,0.15,0.05,4.0,80,0.0,4,sensitivity diagnostic; not convergence evidence,finite-horizon sensitivity only; not an infinite-horizon viability kernel,,finite-horizon sampled-time nearest-grid controlled predecessor with RK4
simulation estimate,numerical diagnostic,horizon,horizon_0_5_s,freewheel,horizon_2_s,323,240,0.7430340557275542,0.049535603715170295,56,0.17337461300309598,0.0,9,0.02786377708978328,47,0.14551083591331268,0.0,0.05,0.15,0.05,0.5,10,0.0,4,sensitivity diagnostic; not convergence evidence,finite-horizon sensitivity only; not an infinite-horizon viability kernel,,finite-horizon sampled-time nearest-grid controlled predecessor with RK4
simulation estimate,numerical diagnostic,horizon,horizon_1_s,freewheel,horizon_2_s,323,224,0.6934984520123839,0.0,56,0.17337461300309598,0.0,9,0.02786377708978328,47,0.14551083591331268,0.0,0.05,0.15,0.05,1.0,20,0.0,4,sensitivity diagnostic; not convergence evidence,finite-horizon sensitivity only; not an infinite-horizon viability kernel,,finite-horizon sampled-time nearest-grid controlled predecessor with RK4
